Date,Temp
04/25/2020 08:32:07, 14.37
04/25/2020 08:32:12, 14.37
04/25/2020 08:32:17, 14.37
04/25/2020 08:32:22, 14.37
04/25/2020 08:32:28, 14.37
04/25/2020 08:32:33, 14.37
04/25/2020 08:32:38, 14.37
04/25/2020 08:32:43, 14.37
04/25/2020 08:32:49, 14.37
04/25/2020 08:32:54, 14.37
04/25/2020 08:33:48, 14.37
04/25/2020 08:33:53, 14.37
04/25/2020 08:33:59, 14.37
04/25/2020 08:34:04, 14.37
04/25/2020 08:34:09, 14.37
04/25/2020 08:34:14, 14.37
04/25/2020 08:34:20, 14.37
04/25/2020 08:34:25, 14.37
04/25/2020 08:34:30, 14.37
04/25/2020 08:34:36, 14.37
04/25/2020 08:35:00, 14.37
04/25/2020 08:35:05, 14.37
04/25/2020 08:35:10, 14.37
04/25/2020 08:36:21, 14.37
04/25/2020 08:36:26, 14.37
04/25/2020 08:36:31, 14.37
04/25/2020 08:36:36, 14.37
04/25/2020 08:36:42, 14.37
04/25/2020 08:36:47, 14.37
04/25/2020 08:36:52, 14.37
04/25/2020 08:36:57, 14.37
04/25/2020 08:37:03, 14.37
04/25/2020 08:37:08, 14.37
04/25/2020 08:37:13, 14.37
04/25/2020 08:37:18, 14.37
04/25/2020 08:37:24, 14.37
04/25/2020 08:37:29, 14.37
04/25/2020 08:37:34, 14.37
04/25/2020 08:46:49, 14.37
04/25/2020 08:46:54, 14.37
04/25/2020 08:47:00, 14.37
04/25/2020 08:47:46, 14.37
04/25/2020 08:47:52, 14.37
04/25/2020 08:47:57, 14.37
04/25/2020 08:49:01, 14.37
04/25/2020 08:49:06, 14.37
